Type,Length,Sweetness,Color
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,short,sweet,yellow
Banana,short,sweet,green
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sweet,green
Banana,long,sweet,yellow
Banana,long,sweet,green
Banana,long,sweet,green
Banana,long,sweet,yellow
Banana,long,sweet,green
Banana,short,sweet,yellow
Banana,short,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sour,yellow
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sour,green
Banana,long,sweet,yellow
Banana,short,sour,yellow
Banana,long,sour,green
Banana,long,sour,yellow
Banana,long,sour,green
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sour,yellow
Banana,long,sweet,green
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sour,green
Banana,long,sour,yellow
Banana,short,sweet,green
Banana,short,sweet,yellow
Banana,long,sour,yellow
Banana,long,sweet,green
Banana,long,sweet,yellow
Banana,short,sour,yellow
Banana,long,sour,yellow
Banana,long,sour,yellow
Banana,short,sweet,yellow
Banana,long,sweet,yellow
Banana,long,sweet,yellow
Orange,short,sour,orange
Orange,short,sour,orange
Orange,short,sweet,orange
Orange,short,sour,orange
Orange,short,sweet,orange
Orange,short,sweet,orange
Orange,short,sour,orange
Orange,short,sweet,orange
Orange,short,sour,orange
Orange,short,sour,orange
Orange,short,sweet,orange
Orange,short,sweet,orange
Orange,short,sweet,orange
Orange,short,sour,orange
Orange,short,sour,orange
Orange,short,sweet,orange
Orange,short,sweet,orange
Orange,short,sour,orange
Orange,short,sour,orange
Orange,short,sweet,orange
Orange,short,sour,orange
Orange,short,sweet,orange
Orange,short,sweet,orange
Orange,short,sweet,orange
Orange,short,sour,orange
Orange,short,sour,orange
Orange,short,sour,orange
Orange,short,sweet,orange
Orange,short,sour,orange
Orange,short,sweet,orange
Other,short,sour,orange
Other,short,sour,yellow
Other,long,sweet,orange
Other,short,sweet,yellow
Other,short,sour,orange
Other,short,sweet,green
Other,long,sour,green
Other,long,sweet,yellow
Other,long,sweet,yellow
Other,short,sour,orange
Other,long,sour,green
Other,short,sweet,yellow
Other,long,sweet,yellow
Other,short,sour,green
Other,long,sweet,orange
Other,short,sweet,yellow
Other,short,sweet,green
Other,long,sour,orange
Other,long,sweet,yellow
Other,short,sweet,orange
